Year,Sport,Discipline,Medal,Country,Author,AuthorId
1948,ART,mixed-sculpturing-reliefs,Bronze,GBR,Rosamund Fletcher,rosamund-fletcher-1
1936,ART,mixed-sculpturing-reliefs,Gold,GER,Emil Sutor,emil-sutor-1
1936,ART,mixed-sculpturing-reliefs,Silver,POL,JÃ³zef Klukowski,jozef-klukowski-2
1948,ART,mixed-sculpturing-statues,Gold,SWE,Gustaf Nordahl,gustaf-nordahl-1
1948,ART,mixed-sculpturing-statues,Silver,GBR,Chintamoni Kar,chintamoni-kar-1
1948,ART,mixed-sculpturing-statues,Bronze,FRA,Hubert Yencesse,hubert-yencesse-1
1936,ART,mixed-sculpturing-statues,Gold,ITA,Farpi Vignoli,farpi-vignoli-1
1936,ART,mixed-sculpturing-statues,Silver,GER,Arno Breker,arno-breker-1
1936,ART,mixed-sculpturing-statues,Bronze,SWE,Stig Blomberg,stig-blomberg-1
1932,ART,mixed-sculpturing-statues,Gold,USA,Mahonri Mackintosh Young,mahonri-mackintosh-young-1
1932,ART,mixed-sculpturing-statues,Silver,HUN,Miltiades Manno,miltiades-manno-1
1932,ART,mixed-sculpturing-statues,Bronze,TCH,Jakub ObrovskÃ½,jakub-obrovsky-1
1928,ART,mixed-sculpturing-statues,Gold,FRA,Paul Landowski,paul-landowski-1
1928,ART,mixed-sculpturing-statues,Silver,SUI,Milo Martin,milo-martin-1
1928,ART,mixed-sculpturing-statues,Bronze,GER,RenÃ©e Sintenis,renee-sintenis-1
1924,ART,mixed-sculpturing,Gold,GRE,Kostas Dimitriadis,kostas-dimitriadis-1
1924,ART,mixed-sculpturing,Silver,LUX,Frantz Heldenstein,frantz-heldenstein-1
1924,ART,mixed-sculpturing,Bronze,DEN,Jean RenÃ© Gauguin,jean-rene-gauguin-1
1920,ART,mixed-sculpturing,Gold,BEL,AlbÃ©ric Collin,alberic-collin-1
