Year,Sport,Discipline,Medal,Country,Author,AuthorId
1920,ART,mixed-sculpturing,Silver,BEL,Simon Goossens,simon-goossens-1
1920,ART,mixed-sculpturing,Bronze,BEL,Alphonse De Cuyper,alphonse-de-cuyper-1
1912,ART,mixed-sculpturing,Gold,USA,Walter Winans,walter-winans-1
1912,ART,mixed-sculpturing,Silver,FRA,Georges Dubois,georges-dubois-4
1952,ATH,mens-10-kilometres-walk,Gold,SWE,John Mikaelsson,john-mikaelsson-1
1952,ATH,mens-10-kilometres-walk,Silver,SUI,Fritz Schwab,fritz-schwab-1
1952,ATH,mens-10-kilometres-walk,Bronze,URS,Bruno Junk,bruno-junk-1
1948,ATH,mens-10-kilometres-walk,Gold,SWE,John Mikaelsson,john-mikaelsson-1
1948,ATH,mens-10-kilometres-walk,Silver,SWE,Ingemar Johansson,ingemar-johansson-2
1948,ATH,mens-10-kilometres-walk,Bronze,SUI,Fritz Schwab,fritz-schwab-1
1924,ATH,mens-10-kilometres-walk,Gold,ITA,Ugo Frigerio,ugo-frigerio-1
1924,ATH,mens-10-kilometres-walk,Silver,GBR,Gordon Goodwin,gordon-goodwin-1
1924,ATH,mens-10-kilometres-walk,Bronze,RSA,Cecil McMaster,cecil-mcmaster-1
1920,ATH,mens-10-kilometres-walk,Gold,ITA,Ugo Frigerio,ugo-frigerio-1
1920,ATH,mens-10-kilometres-walk,Silver,USA,Joe Pearman,joe-pearman-1
1920,ATH,mens-10-kilometres-walk,Bronze,GBR,Charlie Gunn,charlie-gunn-1
1912,ATH,mens-10-kilometres-walk,Gold,CAN,George Goulding,george-goulding-1
1912,ATH,mens-10-kilometres-walk,Silver,GBR,Ernie Webb,ernie-webb-1
1912,ATH,mens-10-kilometres-walk,Bronze,ITA,Nando Altimani,nando-altimani-1
1908,ATH,mens-10-mile-walk,Gold,GBR,George Larner,george-larner-1
1908,ATH,mens-10-mile-walk,Silver,GBR,Ernie Webb,ernie-webb-1
1908,ATH,mens-10-mile-walk,Bronze,GBR,Edward Spencer,edward-spencer-1
2012,ATH,mens-100-metres,Gold,JAM,Usain Bolt,usain-bolt-1
2012,ATH,mens-100-metres,Silver,JAM,Yohan Blake,yohan-blake-1
2012,ATH,mens-100-metres,Bronze,USA,Justin Gatlin,justin-gatlin-1
2008,ATH,mens-100-metres,Gold,JAM,Usain Bolt,usain-bolt-1
2008,ATH,mens-100-metres,Silver,TTO,Richard Thompson,richard-thompson-2
2008,ATH,mens-100-metres,Bronze,USA,Walter Dix,walter-dix-1
2004,ATH,mens-100-metres,Gold,USA,Justin Gatlin,justin-gatlin-1
2004,ATH,mens-100-metres,Silver,POR,Francis Obikwelu,francis-obikwelu-1
2004,ATH,mens-100-metres,Bronze,USA,Maurice Greene,maurice-greene-1
2000,ATH,mens-100-metres,Gold,USA,Maurice Greene,maurice-greene-1
2000,ATH,mens-100-metres,Silver,TTO,Ato Boldon,ato-boldon-1
2000,ATH,mens-100-metres,Bronze,BAR,Obadele Thompson,obadele-thompson-1
1996,ATH,mens-100-metres,Gold,CAN,Donovan Bailey,donovan-bailey-1
1996,ATH,mens-100-metres,Silver,NAM,Frankie Fredericks,frankie-fredericks-1
1996,ATH,mens-100-metres,Bronze,TTO,Ato Boldon,ato-boldon-1
1992,ATH,mens-100-metres,Gold,GBR,Linford Christie,linford-christie-1
1992,ATH,mens-100-metres,Silver,NAM,Frankie Fredericks,frankie-fredericks-1
1992,ATH,mens-100-metres,Bronze,USA,Dennis Mitchell,dennis-mitchell-1
1988,ATH,mens-100-metres,Gold,USA,Carl Lewis,carl-lewis-1
1988,ATH,mens-100-metres,Silver,GBR,Linford Christie,linford-christie-1
1988,ATH,mens-100-metres,Bronze,USA,Calvin Smith,calvin-smith-1
1984,ATH,mens-100-metres,Gold,USA,Carl Lewis,carl-lewis-1
1984,ATH,mens-100-metres,Silver,USA,Sam Graddy,sam-graddy-1
1984,ATH,mens-100-metres,Bronze,CAN,Ben Johnson,ben-johnson-1
1980,ATH,mens-100-metres,Gold,GBR,Allan Wells,allan-wells-1
1980,ATH,mens-100-metres,Silver,CUB,Silvio Leonard,silvio-leonard-1
1980,ATH,mens-100-metres,Bronze,BUL,Petar Petrov,petar-petrov-2
1976,ATH,mens-100-metres,Gold,TTO,Hasely Crawford,hasely-crawford-1
1976,ATH,mens-100-metres,Silver,JAM,Don Quarrie,don-quarrie-1
1976,ATH,mens-100-metres,Bronze,URS,Valeriy Borzov,valeriy-borzov-1
1972,ATH,mens-100-metres,Gold,URS,Valeriy Borzov,valeriy-borzov-1
1972,ATH,mens-100-metres,Silver,USA,Robert Taylor,robert-taylor-1
1972,ATH,mens-100-metres,Bronze,JAM,Lennox Miller,lennox-miller-1
1968,ATH,mens-100-metres,Gold,USA,Jim Hines,jim-hines-1
1968,ATH,mens-100-metres,Silver,JAM,Lennox Miller,lennox-miller-1
1968,ATH,mens-100-metres,Bronze,USA,Charlie Greene,charlie-greene-1
1964,ATH,mens-100-metres,Gold,USA,Bob Hayes,bob-hayes-1
1964,ATH,mens-100-metres,Silver,CUB,Enrique Figuerola,enrique-figuerola-1
1964,ATH,mens-100-metres,Bronze,CAN,Harry Jerome,harry-jerome-1
1960,ATH,mens-100-metres,Gold,GER,Armin Hary,armin-hary-1
1960,ATH,mens-100-metres,Silver,USA,Dave Sime,dave-sime-1
1960,ATH,mens-100-metres,Bronze,GBR,Peter Radford,peter-radford-1
1956,ATH,mens-100-metres,Gold,USA,Bobby Joe Morrow,bobby-joe-morrow-1
1956,ATH,mens-100-metres,Silver,USA,Thane Baker,thane-baker-1
1956,ATH,mens-100-metres,Bronze,AUS,Hec Hogan,hec-hogan-1
1952,ATH,mens-100-metres,Gold,USA,Lindy Remigino,lindy-remigino-1
1952,ATH,mens-100-metres,Silver,JAM,Herb McKenley,herb-mckenley-1
1952,ATH,mens-100-metres,Bronze,GBR,McDonald Bailey,mcdonald-bailey-1
1948,ATH,mens-100-metres,Gold,USA,Harrison Dillard,harrison-dillard-1
1948,ATH,mens-100-metres,Silver,USA,Barney Ewell,barney-ewell-1
1948,ATH,mens-100-metres,Bronze,PAN,Lloyd LaBeach,lloyd-labeach-1
1936,ATH,mens-100-metres,Gold,USA,Jesse Owens,jesse-owens-1
1936,ATH,mens-100-metres,Silver,USA,Ralph Metcalfe,ralph-metcalfe-1
1936,ATH,mens-100-metres,Bronze,NED,Tinus Osendarp,tinus-osendarp-1
1932,ATH,mens-100-metres,Gold,USA,Eddie Tolan,eddie-tolan-1
1932,ATH,mens-100-metres,Silver,USA,Ralph Metcalfe,ralph-metcalfe-1
1932,ATH,mens-100-metres,Bronze,GER,Arthur Jonath,arthur-jonath-1
1928,ATH,mens-100-metres,Gold,CAN,Percy Williams,percy-williams-1
1928,ATH,mens-100-metres,Silver,GBR,Jack London,jack-london-1
1928,ATH,mens-100-metres,Bronze,GER,Georg Lammers,georg-lammers-1
1924,ATH,mens-100-metres,Gold,GBR,Harold Abrahams,harold-abrahams-1
1924,ATH,mens-100-metres,Silver,USA,Jackson Scholz,jackson-scholz-1
1924,ATH,mens-100-metres,Bronze,NZL,Arthur Porritt,arthur-porritt-1
1920,ATH,mens-100-metres,Gold,USA,Charley Paddock,charley-paddock-1
1920,ATH,mens-100-metres,Silver,USA,Morris Kirksey,morris-kirksey-1
1920,ATH,mens-100-metres,Bronze,GBR,Harry Edward,harry-edward-1
1912,ATH,mens-100-metres,Gold,USA,Ralph Craig,ralph-craig-1
1912,ATH,mens-100-metres,Silver,USA,Alvah Meyer,alvah-meyer-1
1912,ATH,mens-100-metres,Bronze,USA,Donald Lippincott,donald-lippincott-1
1908,ATH,mens-100-metres,Gold,RSA,Reggie Walker,reggie-walker-1
1908,ATH,mens-100-metres,Silver,USA,James Rector,james-rector-1
1908,ATH,mens-100-metres,Bronze,CAN,Bobby Kerr,bobby-kerr-1
1906,ATH,mens-100-metres,Gold,USA,Archie Hahn,archie-hahn-1
1906,ATH,mens-100-metres,Silver,USA,Fay Moulton,fay-moulton-1
1906,ATH,mens-100-metres,Bronze,AUS,Nigel Barker,nigel-barker-1
1904,ATH,mens-100-metres,Gold,USA,Archie Hahn,archie-hahn-1
1904,ATH,mens-100-metres,Silver,USA,Nate Cartmell,nate-cartmell-1
1904,ATH,mens-100-metres,Bronze,USA,Bill Hogenson,bill-hogenson-1
1900,ATH,mens-100-metres,Gold,USA,Frank Jarvis,frank-jarvis-1
1900,ATH,mens-100-metres,Silver,USA,Walter Tewksbury,walter-tewksbury-1
1900,ATH,mens-100-metres,Bronze,AUS,Stan Rowley,stan-rowley-1
1896,ATH,mens-100-metres,Gold,USA,Tom Burke,tom-burke-1
1896,ATH,mens-100-metres,Silver,GER,Fritz Hofmann,fritz-hofmann-1
1896,ATH,mens-100-metres,Bronze,HUN,Alajos Szokoly,alajos-szokoly-1
2012,ATH,mens-10000-metres,Gold,GBR,Mo Farah,mo-farah-1
2012,ATH,mens-10000-metres,Silver,USA,Galen Rupp,galen-rupp-1
2012,ATH,mens-10000-metres,Bronze,ETH,Tariku Bekele,tariku-bekele-1
2008,ATH,mens-10000-metres,Gold,ETH,Kenenisa Bekele,kenenisa-bekele-1
2008,ATH,mens-10000-metres,Silver,ETH,Sileshi Sihine,sileshi-sihine-1
2008,ATH,mens-10000-metres,Bronze,KEN,Micah Kogo,micah-kogo-1
2004,ATH,mens-10000-metres,Gold,ETH,Kenenisa Bekele,kenenisa-bekele-1
2004,ATH,mens-10000-metres,Silver,ETH,Sileshi Sihine,sileshi-sihine-1
2004,ATH,mens-10000-metres,Bronze,ERI,Zersenay Tadesse,zersenay-tadesse-1
2000,ATH,mens-10000-metres,Gold,ETH,Haile Gebrselassie,haile-gebrselassie-1
2000,ATH,mens-10000-metres,Silver,KEN,Paul Tergat,paul-tergat-1
2000,ATH,mens-10000-metres,Bronze,ETH,Assefa Mezgebu,assefa-mezgebu-1
1996,ATH,mens-10000-metres,Gold,ETH,Haile Gebrselassie,haile-gebrselassie-1
1996,ATH,mens-10000-metres,Silver,KEN,Paul Tergat,paul-tergat-1
1996,ATH,mens-10000-metres,Bronze,MAR,Salah Hissou,salah-hissou-1
1992,ATH,mens-10000-metres,Gold,MAR,Khalid Skah,khalid-skah-1
1992,ATH,mens-10000-metres,Silver,KEN,Richard Chelimo,richard-chelimo-1
1992,ATH,mens-10000-metres,Bronze,ETH,Addis Abebe,addis-abebe-1
1988,ATH,mens-10000-metres,Gold,MAR,Brahim Boutayeb,brahim-boutayeb-1
1988,ATH,mens-10000-metres,Silver,ITA,Salvatore Antibo,salvatore-antibo-1
1988,ATH,mens-10000-metres,Bronze,KEN,Kipkemboi Kimeli,kipkemboi-kimeli-1
1984,ATH,mens-10000-metres,Gold,ITA,Alberto Cova,alberto-cova-1
1984,ATH,mens-10000-metres,Silver,GBR,Mike McLeod,mike-mcleod-1
1984,ATH,mens-10000-metres,Bronze,KEN,Mike Musyoki,mike-musyoki-1
1980,ATH,mens-10000-metres,Gold,ETH,Miruts Yifter,miruts-yifter-1
1980,ATH,mens-10000-metres,Silver,FIN,Kaarlo Maaninka,kaarlo-maaninka-1
1980,ATH,mens-10000-metres,Bronze,ETH,Mohamed Kedir,mohamed-kedir-1
1976,ATH,mens-10000-metres,Gold,FIN,Lasse VirÃ©n,lasse-viren-1
1976,ATH,mens-10000-metres,Silver,POR,Carlos Lopes,carlos-lopes-1
1976,ATH,mens-10000-metres,Bronze,GBR,Brendan Foster,brendan-foster-1
1972,ATH,mens-10000-metres,Gold,FIN,Lasse VirÃ©n,lasse-viren-1
1972,ATH,mens-10000-metres,Silver,BEL,Miel Puttemans,miel-puttemans-1
1972,ATH,mens-10000-metres,Bronze,ETH,Miruts Yifter,miruts-yifter-1
1968,ATH,mens-10000-metres,Gold,KEN,Naftali Temu,naftali-temu-1
1968,ATH,mens-10000-metres,Silver,ETH,Mamo Wolde,mamo-wolde-1
1968,ATH,mens-10000-metres,Bronze,TUN,Mohamad Gammoudi,mohamad-gammoudi-1
1964,ATH,mens-10000-metres,Gold,USA,Billy Mills,billy-mills-1
1964,ATH,mens-10000-metres,Silver,TUN,Mohamad Gammoudi,mohamad-gammoudi-1
1964,ATH,mens-10000-metres,Bronze,AUS,Ron Clarke,ron-clarke-1
1960,ATH,mens-10000-metres,Gold,URS,Pyotr Bolotnikov,pyotr-bolotnikov-1
1960,ATH,mens-10000-metres,Silver,GER,Hans Grodotzki,hans-grodotzki-1
1960,ATH,mens-10000-metres,Bronze,AUS,Dave Power,dave-power-1
1956,ATH,mens-10000-metres,Gold,URS,Volodymyr Kuts,volodymyr-kuts-1
1956,ATH,mens-10000-metres,Silver,HUN,JÃ³zsef KovÃ¡cs,jozsef-kovacs-4
1956,ATH,mens-10000-metres,Bronze,AUS,Allan Lawrence,allan-lawrence-1
1952,ATH,mens-10000-metres,Gold,TCH,Emil ZÃ¡topek,emil-zatopek-1
1952,ATH,mens-10000-metres,Silver,FRA,Alain Mimoun,alain-mimoun-1
1952,ATH,mens-10000-metres,Bronze,URS,Aleksandr Anufriyev,aleksandr-anufriyev-1
1948,ATH,mens-10000-metres,Gold,TCH,Emil ZÃ¡topek,emil-zatopek-1
1948,ATH,mens-10000-metres,Silver,FRA,Alain Mimoun,alain-mimoun-1
1948,ATH,mens-10000-metres,Bronze,SWE,Bertil Albertsson,bertil-albertsson-1
1936,ATH,mens-10000-metres,Gold,FIN,Ilmari Salminen,ilmari-salminen-1
1936,ATH,mens-10000-metres,Silver,FIN,Arvo Askola,arvo-askola-1
1936,ATH,mens-10000-metres,Bronze,FIN,Volmari Iso-Hollo,volmari-iso-hollo-1
1932,ATH,mens-10000-metres,Gold,POL,Janusz KusociÅski,janusz-kusocinski-1
1932,ATH,mens-10000-metres,Silver,FIN,Volmari Iso-Hollo,volmari-iso-hollo-1
1932,ATH,mens-10000-metres,Bronze,FIN,Lasse Virtanen,lasse-virtanen-1
1928,ATH,mens-10000-metres,Gold,FIN,Paavo Nurmi,paavo-nurmi-1
1928,ATH,mens-10000-metres,Silver,FIN,Ville Ritola,ville-ritola-1
1928,ATH,mens-10000-metres,Bronze,SWE,Edvin Wide,edvin-wide-1
1924,ATH,mens-10000-metres,Gold,FIN,Ville Ritola,ville-ritola-1
1924,ATH,mens-10000-metres,Silver,SWE,Edvin Wide,edvin-wide-1
1924,ATH,mens-10000-metres,Bronze,FIN,Eero Berg,eero-berg-1
1920,ATH,mens-10000-metres,Gold,FIN,Paavo Nurmi,paavo-nurmi-1
1920,ATH,mens-10000-metres,Silver,FRA,Joseph Guillemot,joseph-guillemot-1
1920,ATH,mens-10000-metres,Bronze,GBR,James Wilson,james-wilson-2
1912,ATH,mens-10000-metres,Gold,FIN,Hannes Kolehmainen,hannes-kolehmainen-1
1912,ATH,mens-10000-metres,Silver,USA,Lewis Tewanima,lewis-tewanima-1
1912,ATH,mens-10000-metres,Bronze,FIN,Albin Stenroos,albin-stenroos-1
2012,ATH,mens-110-metres-hurdles,Gold,USA,Aries Merritt,aries-merritt-1
2012,ATH,mens-110-metres-hurdles,Silver,USA,Jason Richardson,jason-richardson-1
2012,ATH,mens-110-metres-hurdles,Bronze,JAM,Hansle Parchment,hansle-parchment-1
2008,ATH,mens-110-metres-hurdles,Gold,CUB,Dayron Robles,dayron-robles-1
2008,ATH,mens-110-metres-hurdles,Silver,USA,David Payne,david-payne-1
2008,ATH,mens-110-metres-hurdles,Bronze,USA,David Oliver,david-oliver-1
2004,ATH,mens-110-metres-hurdles,Gold,CHN,Liu Xiang,liu-xiang-1
2004,ATH,mens-110-metres-hurdles,Silver,USA,Terrence Trammell,terrence-trammell-1
2004,ATH,mens-110-metres-hurdles,Bronze,CUB,Anier GarcÃ­a,anier-garcia-1
2000,ATH,mens-110-metres-hurdles,Gold,CUB,Anier GarcÃ­a,anier-garcia-1
2000,ATH,mens-110-metres-hurdles,Silver,USA,Terrence Trammell,terrence-trammell-1
2000,ATH,mens-110-metres-hurdles,Bronze,USA,Mark Crear,mark-crear-1
1996,ATH,mens-110-metres-hurdles,Gold,USA,Allen Johnson,allen-johnson-1
1996,ATH,mens-110-metres-hurdles,Silver,USA,Mark Crear,mark-crear-1
1996,ATH,mens-110-metres-hurdles,Bronze,GER,Florian Schwarthoff,florian-schwarthoff-1
1992,ATH,mens-110-metres-hurdles,Gold,CAN,Mark McKoy,mark-mckoy-1
1992,ATH,mens-110-metres-hurdles,Silver,USA,Tony Dees,tony-dees-1
1992,ATH,mens-110-metres-hurdles,Bronze,USA,Jack Pierce,jack-pierce-1
1988,ATH,mens-110-metres-hurdles,Gold,USA,Roger Kingdom,roger-kingdom-1
1988,ATH,mens-110-metres-hurdles,Silver,GBR,Colin Jackson,colin-jackson-1
1988,ATH,mens-110-metres-hurdles,Bronze,USA,Tonie Campbell,tonie-campbell-1
1984,ATH,mens-110-metres-hurdles,Gold,USA,Roger Kingdom,roger-kingdom-1
1984,ATH,mens-110-metres-hurdles,Silver,USA,Greg Foster,greg-foster-1
1984,ATH,mens-110-metres-hurdles,Bronze,FIN,Arto Bryggare,arto-bryggare-1
1980,ATH,mens-110-metres-hurdles,Gold,GDR,Thomas Munkelt,thomas-munkelt-1
1980,ATH,mens-110-metres-hurdles,Silver,CUB,Alejandro CasaÃ±as,alejandro-casanas-1
1980,ATH,mens-110-metres-hurdles,Bronze,URS,Aleksandr Puchkov,aleksandr-puchkov-1
1976,ATH,mens-110-metres-hurdles,Gold,FRA,Guy Drut,guy-drut-1
1976,ATH,mens-110-metres-hurdles,Silver,CUB,Alejandro CasaÃ±as,alejandro-casanas-1
1976,ATH,mens-110-metres-hurdles,Bronze,USA,Willie Davenport,willie-davenport-1
1972,ATH,mens-110-metres-hurdles,Gold,USA,Rod Milburn,rod-milburn-1
1972,ATH,mens-110-metres-hurdles,Silver,FRA,Guy Drut,guy-drut-1
1972,ATH,mens-110-metres-hurdles,Bronze,USA,Tom Hill,tom-hill-1
1968,ATH,mens-110-metres-hurdles,Gold,USA,Willie Davenport,willie-davenport-1
1968,ATH,mens-110-metres-hurdles,Silver,USA,Erv Hall,erv-hall-1
1968,ATH,mens-110-metres-hurdles,Bronze,ITA,Eddy Ottoz,eddy-ottoz-1
1964,ATH,mens-110-metres-hurdles,Gold,USA,Hayes Jones,hayes-jones-1
1964,ATH,mens-110-metres-hurdles,Silver,USA,Blaine Lindgren,blaine-lindgren-1
1964,ATH,mens-110-metres-hurdles,Bronze,URS,Anatoly Mikhaylov,anatoly-mikhaylov-1
1960,ATH,mens-110-metres-hurdles,Gold,USA,Lee Calhoun,lee-calhoun-1
1960,ATH,mens-110-metres-hurdles,Silver,USA,Willie May,willie-may-1
1960,ATH,mens-110-metres-hurdles,Bronze,USA,Hayes Jones,hayes-jones-1
1956,ATH,mens-110-metres-hurdles,Gold,USA,Lee Calhoun,lee-calhoun-1
1956,ATH,mens-110-metres-hurdles,Silver,USA,Jack Davis,jack-davis-1
1956,ATH,mens-110-metres-hurdles,Bronze,USA,Joel Shankle,joel-shankle-1
1952,ATH,mens-110-metres-hurdles,Gold,USA,Harrison Dillard,harrison-dillard-1
1952,ATH,mens-110-metres-hurdles,Silver,USA,Jack Davis,jack-davis-1
1952,ATH,mens-110-metres-hurdles,Bronze,USA,Art Barnard,art-barnard-1
1948,ATH,mens-110-metres-hurdles,Gold,USA,Bill Porter,bill-porter-1
1948,ATH,mens-110-metres-hurdles,Silver,USA,Clyde Scott,clyde-scott-1
1948,ATH,mens-110-metres-hurdles,Bronze,USA,Craig Dixon,craig-dixon-1
1936,ATH,mens-110-metres-hurdles,Gold,USA,Forrest Towns,forrest-towns-1
1936,ATH,mens-110-metres-hurdles,Silver,GBR,Don Finlay,don-finlay-1
1936,ATH,mens-110-metres-hurdles,Bronze,USA,Fritz Pollard,fritz-pollard-1
1932,ATH,mens-110-metres-hurdles,Gold,USA,George Saling,george-saling-1
1932,ATH,mens-110-metres-hurdles,Silver,USA,Percy Beard,percy-beard-1
1932,ATH,mens-110-metres-hurdles,Bronze,GBR,Don Finlay,don-finlay-1
1928,ATH,mens-110-metres-hurdles,Gold,RSA,Sid Atkinson,sid-atkinson-1
1928,ATH,mens-110-metres-hurdles,Silver,USA,Steve Anderson,steve-anderson-1
1928,ATH,mens-110-metres-hurdles,Bronze,USA,John Collier,john-collier-1
1924,ATH,mens-110-metres-hurdles,Gold,USA,Dan Kinsey,dan-kinsey-1
1924,ATH,mens-110-metres-hurdles,Silver,RSA,Sid Atkinson,sid-atkinson-1
1924,ATH,mens-110-metres-hurdles,Bronze,SWE,Sten Pettersson,sten-pettersson-1
1920,ATH,mens-110-metres-hurdles,Gold,CAN,Tommy Thomson,tommy-thomson-1
1920,ATH,mens-110-metres-hurdles,Silver,USA,Hal Barron,hal-barron-1
1920,ATH,mens-110-metres-hurdles,Bronze,USA,Fred Murray,fred-murray-1
1912,ATH,mens-110-metres-hurdles,Gold,USA,Fred Kelly,fred-kelly-1
1912,ATH,mens-110-metres-hurdles,Silver,USA,James Wendell,james-wendell-1
1912,ATH,mens-110-metres-hurdles,Bronze,USA,Martin Hawkins,martin-hawkins-1
1908,ATH,mens-110-metres-hurdles,Gold,USA,Forrest Smithson,forrest-smithson-1
1908,ATH,mens-110-metres-hurdles,Silver,USA,Johnny Garrels,johnny-garrels-1
1908,ATH,mens-110-metres-hurdles,Bronze,USA,Art Shaw,art-shaw-1
1906,ATH,mens-110-metres-hurdles,Gold,USA,Bob Leavitt,bob-leavitt-1
1906,ATH,mens-110-metres-hurdles,Silver,GBR,Alfred Healey,alfred-healey-1
1906,ATH,mens-110-metres-hurdles,Bronze,GER,Vincent Duncker,vincent-duncker-1
1904,ATH,mens-110-metres-hurdles,Gold,USA,Fred Schule,fred-schule-1
1904,ATH,mens-110-metres-hurdles,Silver,USA,Thad Shideler,thad-shideler-1
1904,ATH,mens-110-metres-hurdles,Bronze,USA,Lesley Ashburner,lesley-ashburner-1
1900,ATH,mens-110-metres-hurdles,Gold,USA,Al Kraenzlein,al-kraenzlein-1
1900,ATH,mens-110-metres-hurdles,Silver,USA,John McLean,john-mclean-1
1900,ATH,mens-110-metres-hurdles,Bronze,USA,Fred Moloney,fred-moloney-1
1896,ATH,mens-110-metres-hurdles,Gold,USA,Tom Curtis,tom-curtis-1
1896,ATH,mens-110-metres-hurdles,Silver,GBR,Grantley Goulding,grantley-goulding-1
1906,ATH,mens-1500-metres-walk,Gold,USA,George Bonhag,george-bonhag-1
1906,ATH,mens-1500-metres-walk,Silver,CAN,Don Linden,don-linden-1
1906,ATH,mens-1500-metres-walk,Bronze,GRE,Konstantinos Spetsiotis,konstantinos-spetsiotis-1
2012,ATH,mens-1500-metres,Gold,ALG,Taoufik Makhloufi,taoufik-makhloufi-1
2012,ATH,mens-1500-metres,Silver,USA,Leo Manzano,leo-manzano-1
2012,ATH,mens-1500-metres,Bronze,MAR,Abdalaati Iguider,abdalaati-iguider-1
2008,ATH,mens-1500-metres,Gold,KEN,Asbel Kiprop,asbel-kiprop-1
2008,ATH,mens-1500-metres,Silver,NZL,Nick Willis,nick-willis-1
2008,ATH,mens-1500-metres,Bronze,FRA,Mehdi Baala,mehdi-baala-1
2004,ATH,mens-1500-metres,Gold,MAR,Hicham El Guerrouj,hicham-el-guerrouj-1
2004,ATH,mens-1500-metres,Silver,KEN,Bernard Lagat,bernard-lagat-1
2004,ATH,mens-1500-metres,Bronze,POR,Rui Silva,rui-silva-1
2000,ATH,mens-1500-metres,Gold,KEN,Noah Ngeny,noah-ngeny-1
2000,ATH,mens-1500-metres,Silver,MAR,Hicham El Guerrouj,hicham-el-guerrouj-1
2000,ATH,mens-1500-metres,Bronze,KEN,Bernard Lagat,bernard-lagat-1
1996,ATH,mens-1500-metres,Gold,ALG,Noureddine Morceli,noureddine-morceli-1
1996,ATH,mens-1500-metres,Silver,ESP,FermÃ­n Cacho,fermin-cacho-1
1996,ATH,mens-1500-metres,Bronze,KEN,Stephen Kipkorir,stephen-kipkorir-1
1992,ATH,mens-1500-metres,Gold,ESP,FermÃ­n Cacho,fermin-cacho-1
1992,ATH,mens-1500-metres,Silver,MAR,Rachid El-Basir,rachid-el-basir-1
1992,ATH,mens-1500-metres,Bronze,QAT,Mohamed Suleiman,mohamed-suleiman-1
1988,ATH,mens-1500-metres,Gold,KEN,Peter Rono,peter-rono-1
1988,ATH,mens-1500-metres,Silver,GBR,Peter Elliott,peter-elliott-2
1988,ATH,mens-1500-metres,Bronze,GDR,Jens-Peter Herold,jens-peter-herold-1
1984,ATH,mens-1500-metres,Gold,GBR,Seb Coe,seb-coe-1
1984,ATH,mens-1500-metres,Silver,GBR,Steve Cram,steve-cram-1
1984,ATH,mens-1500-metres,Bronze,ESP,JosÃ© Manuel Abascal,jose-manuel-abascal-1
1980,ATH,mens-1500-metres,Gold,GBR,Seb Coe,seb-coe-1
1980,ATH,mens-1500-metres,Silver,GDR,JÃ¼rgen Straub,jurgen-straub-1
1980,ATH,mens-1500-metres,Bronze,GBR,Steve Ovett,steve-ovett-1
1976,ATH,mens-1500-metres,Gold,NZL,John Walker,john-walker-3
1976,ATH,mens-1500-metres,Silver,BEL,Ivo Van Damme,ivo-van-damme-1
1976,ATH,mens-1500-metres,Bronze,FRG,Paul-Heinz Wellmann,paul-heinz-wellmann-1
1972,ATH,mens-1500-metres,Gold,FIN,Pekka Vasala,pekka-vasala-1
1972,ATH,mens-1500-metres,Silver,KEN,Kip Keino,kip-keino-1
1972,ATH,mens-1500-metres,Bronze,NZL,Rod Dixon,rod-dixon-1
1968,ATH,mens-1500-metres,Gold,KEN,Kip Keino,kip-keino-1
1968,ATH,mens-1500-metres,Silver,USA,Jim Ryun,jim-ryun-1
1968,ATH,mens-1500-metres,Bronze,FRG,Bodo TÃ¼mmler,bodo-tummler-1
1964,ATH,mens-1500-metres,Gold,NZL,Peter Snell,peter-snell-1
1964,ATH,mens-1500-metres,Silver,TCH,Josef OdloÅ¾il,josef-odlozil-1
1964,ATH,mens-1500-metres,Bronze,NZL,John Davies,john-davies-2
1960,ATH,mens-1500-metres,Gold,AUS,Herb Elliott,herb-elliott-1
1960,ATH,mens-1500-metres,Silver,FRA,Michel Jazy,michel-jazy-1
1960,ATH,mens-1500-metres,Bronze,HUN,IstvÃ¡n RÃ³zsavÃ¶lgyi,istvan-rozsavolgyi-1
1956,ATH,mens-1500-metres,Gold,IRL,Ronnie Delany,ronnie-delany-1
1956,ATH,mens-1500-metres,Silver,GER,Klaus Richtzenhain,klaus-richtzenhain-1
1956,ATH,mens-1500-metres,Bronze,AUS,John Landy,john-landy-1
1952,ATH,mens-1500-metres,Gold,LUX,Josy Barthel,josy-barthel-1
1952,ATH,mens-1500-metres,Silver,USA,Bob McMillen,bob-mcmillen-1
1952,ATH,mens-1500-metres,Bronze,GER,Werner Lueg,werner-lueg-1
1948,ATH,mens-1500-metres,Gold,SWE,Henry Eriksson,henry-eriksson-1
1948,ATH,mens-1500-metres,Silver,SWE,Lennart Strand,lennart-strand-1
1948,ATH,mens-1500-metres,Bronze,NED,Wim Slijkhuis,wim-slijkhuis-1
1936,ATH,mens-1500-metres,Gold,NZL,Jack Lovelock,jack-lovelock-1
1936,ATH,mens-1500-metres,Silver,USA,Glenn Cunningham,glenn-cunningham-1
1936,ATH,mens-1500-metres,Bronze,ITA,Luigi Beccali,luigi-beccali-1
1932,ATH,mens-1500-metres,Gold,ITA,Luigi Beccali,luigi-beccali-1
1932,ATH,mens-1500-metres,Silver,GBR,Jerry Cornes,jerry-cornes-1
1932,ATH,mens-1500-metres,Bronze,CAN,Phil Edwards,phil-edwards-2
